[[10,5, 10,5, 7, 22, 18, 3, 32, 35, 5],
[10,5, 10,5, 7, 20, 16, 2, 33, 23, 5],
[10,5, 10,5, 7, 17, 13, 2, 23, 22, 4],
[10,5, 10,5, 7, 19, 14, 2, 23, 22, 4],
[10,5, 10,5, 7, 18, 15, 2, 23, 22, 4],
[10,5, 10,5, 6, 18, 16, 2, 22, 22, 3],
[10,5, 10,5, 7, 22, 14, 2, 23, 25, 4],
[10,5, 10,5, 8, 23, 17, 4, 24, 28, 5],
[10,5, 10,5, 9, 25, 15, 3, 24, 31, 5],
[10,5, 10,5, 9, 25, 15, 4, 24, 88, 5],
[10,5, 10,5, 10, 24, 25, 3, 36, 85, 7],
[10,4, 10,4, 10, 24, 26, 3, 36, 88, 7],
[10,5, 10,5, 10, 26, 30, 3, 40, 93, 5],
[10,5, 10,5, 12, 24, 27, 4, 36, 90, 5],
[10,4, 10,5, 9, 25, 27, 3, 38, 93, 5],
[10,3, 10,3, 9, 26, 30, 3, 40, 92, 6],
[10,3, 10,4, 10, 29, 24, 4, 42, 93, 8],
[10,3, 10,4, 10, 28, 25, 4, 48, 94, 7],
[10,4, 10,4, 11, 36, 31, 5, 51, 94, 7],
[10,4, 10,4, 12, 35, 26, 5, 59, 92, 8],
[10,4, 10,4, 13, 37, 30, 5, 60, 92, 7],
[10,4, 10,5, 12, 37, 27, 5, 58, 90, 10],
[10,4, 10,5, 11, 30, 21, 5, 49, 61, 9],
[10,5, 10,5, 11, 25, 19, 4, 40, 33, 7]]